Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
1.2 Enjoy	 35.000 TL 	2003	1199 cc	120.000 km	Benzin	Corsa	Galeriden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	11 Eylül 2019	12087830	KASTAMONU / TOSYA / CUMHURİYET MAHALLESİ	
1.4 D-4D Advance	 88.750 TL 	2015	1201 - 1400 cm3	105.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265538	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.3 Multijet Easy	 67.900 TL 	2017	1201 - 1400 cm3	69.000 km	Dizel	Egea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265457	EDİRNE / MERKEZ / MERKEZ	
1.5 Tekna	 38.000 TL 	2007	1498 cc	133.000 km	Benzin	Almera	Galeriden	Nissan	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12262478	İSTANBUL / BAĞCILAR / 100. YIL MAHALLESİ	
1.8 T Comfortline	 55.500 TL 	2004	1601 - 1800 cm3	266.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	11 Eylül 2019	12245139	ISPARTA / ŞARKİKARAAĞAÇ / ULVİKALE MAHALLESİ	
1.4 Color Line	 27.500 TL 	2002	1360 cc	234.000 km	Benzin	206	Galeriden	Peugeot	Takasa Uygun Değil	Belirtilmemiş	Düz	04 Eylül 2019	12196436	AFYONKARAHİSAR / MERKEZ / AFYONKARAHİSAR OSB	
1.6 TDCi Ghia	 49.999 TL 	2006	1560 cc	163.300 km	Dizel	Focus	Sahibinden	Ford	Takasa Uygun Değil	4 boyalı	Düz	14 Eylül 2019	12263882	KAYSERİ / MELİKGAZİ / GESİ CUMHURİYET MAHALLESİ	
1.4 D-4D Comfort Extra	 72.000 TL 	2012	1364 cc	105.000 km	Dizel	Auris	Sahibinden	Toyota	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263786	KOCAELİ / BAŞİSKELE / OVACIK MAHALLESİ	
1.6 Multijet Comfort	 80.500 TL 	2017	1598 cc	76.950 km	Dizel	Egea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12215224	KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ	
1.4 Team	 36.500 TL 	2010	1399 cc	139.000 km	Benzin	Accent Era	Galeriden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264503	İSTANBUL / ŞİŞLİ / YAYLA MAHALLESİ	
1.25 Flair	 21.500 TL 	2002	1242 cc	218.700 km	Benzin	Fiesta	Sahibinden	Ford	Takasa Uygun Değil	Tamamı boyalı	Düz	14 Eylül 2019	12264648	HATAY / ANTAKYA / AKASYA MAHALLESİ	
1.4 Swing	 17.000 TL 	1996	1388 cc	220.000 km	LPG & Benzin	Corsa	Sahibinden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264557	MUĞLA / ULA / AKYAKA MAHALLESİ	
1.2 MPI Elite Blue	 70.500 TL 	2016	1248 cc	45.700 km	Benzin	i20	Sahibinden	Hyundai	Takasa Uygun	Tamamı orjinal	Düz	13 Eylül 2019	12264049	ANTALYA / ALANYA / PAYALLAR MAHALLESİ	
1.6 CLX	 17.000 TL 	1998	1401 - 1600 cm3	80.000 km	Benzin	Escort	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263680	KOCAELİ / GEBZE / MUSTAFAPAŞA MAHALLESİ	
1.5 dCi MCV Ambiance	 56.900 TL 	2014	1461 cc	108.313 km	Dizel	Logan	Galeriden	Dacia	Takasa Uygun Değil	7 boyalı	Düz	13 Eylül 2019	12264679	İZMİR / GAZİEMİR / MERKEZ	
1.6 Comfort	 34.750 TL 	2008	1598 cc	300.000 km	LPG & Benzin	Avensis	Galeriden	Toyota	Takasa Uygun Değil	Belirtilmemiş	Düz	09 Eylül 2019	12230508	ŞANLIURFA / HİLVAN / KARACURUN MAHALLESİ	
1.5 TDCi Trend X	 83.900 TL 	2016	1401 - 1600 cm3	120.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun Değil	1 değişen, 4 boyalı	Yarı Otomatik	14 Eylül 2019	12265333	KOCAELİ / GEBZE / KÖŞKLÜ ÇEŞME MAHALLESİ	
1.6 RXT	 27.250 TL 	2001	1401 - 1600 cm3	221.000 km	Benzin	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263715	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
1.6 TDCi Trend	 58.900 TL 	2012	1560 cc	148.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	3 boyalı	Düz	14 Eylül 2019	12208072	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.6 Essentia	 60.000 TL 	2013	1598 cc	55.000 km	LPG & Benzin	Astra	Sahibinden	Opel	Takasa Uygun Değil	1 boyalı	Düz	14 Eylül 2019	12265528	DİYARBAKIR / BAĞLAR / KÖRHAT MAHALLESİ	
1.4 TDi Basicline	 30.500 TL 	2004	1422 cc	300.000 km	Dizel	Polo	Sahibinden	Volkswagen	Takasa Uygun Değil	2 değişen, 6 boyalı	Düz	13 Eylül 2019	12263649	İZMİR / BUCA / ÇAMLIK MAHALLESİ	
1.9 TDi Comfortline	 41.000 TL 	2001	1896 cc	266.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265583	KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ	
EVO 1.4 Fire Dynamic	 48.900 TL 	2011	1368 cc	123.000 km	Benzin	Punto	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265689	BALIKESİR / KARESİ / KUVA-İ MİLLİYE MAHALLESİ	
1.6 Expression	 35.000 TL 	2005	190.000 km	LPG & Benzin	Laguna	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264135	BAYBURT / MERKEZ / CAMİKEBİR MAHALLESİ	
1.2 Twinport Active	 59.950 TL 	2014	1229 cc	37.000 km	Benzin	Corsa	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264021	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.33 Life	 70.500 TL 	2015	53.650 km	LPG & Benzin	Auris	Sahibinden	Toyota	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12264371	OSMANİYE / MERKEZ / RAUFBEY MAHALLESİ	
1.2 TSi Comfortline	 80.000 TL 	2017	1197 cc	14.000 km	Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263878	MERSİN / ANAMUR / GÜZELYURT MAHALLESİ	
1.6 Touch	 64.500 TL 	2013	1598 cc	95.000 km	LPG & Benzin	Fluence	Sahibinden	Renault	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12264856	AMASYA / MERKEZ / GÖKDERE KÖYÜ	
1.6 HDi Active	 69.950 TL 	2017	1401 - 1600 cm3	88.000 km	Dizel	301	Galeriden	Peugeot	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	11457952	İSTANBUL / ARNAVUTKÖY / ARNAVUTKÖY MERKEZ MAHALLESİ	
C 200 BlueTEC AMG	 189.000 TL 	2016	1401 - 1600 cm3	90.500 km	Dizel	C	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	23 Ağustos 2019	11926324	ANTALYA / KEPEZ / GÜLVEREN MAHALLESİ	
1.6 CRDi Elite	 96.500 TL 	2014	1401 - 1600 cm3	80.500 km	Dizel	i30	Galeriden	Hyundai	Takasa Uygun	1 boyalı	Yarı Otomatik	13 Eylül 2019	12264349	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 Sportive	 19.500 TL 	1994	1598 cc	255.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264298	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
2.0 Type-R	 98.750 TL 	2010	1998 cc	84.000 km	Benzin	Civic	Galeriden	Honda	Takasa Uygun	Belirtilmemiş	Düz	09 Eylül 2019	12229924	BURSA / OSMANGAZİ / PANAYIR MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 93.500 TL 	2012	1598 cc	164.511 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12265181	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
1.6 TDi BlueMotion Midline Plus	 71.500 TL 	2015	1598 cc	182.000 km	Dizel	Golf	Galeriden	Volkswagen	Takasa Uygun Değil	Tamamı orjinal	Düz	08 Eylül 2019	12226068	ŞANLIURFA / HALİLİYE / KARSIYAKA MAHALLESİ	
1.2 Turbo Joy	 85.750 TL 	2018	1200 cm3' e kadar	21 km	Benzin	Clio	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264301	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
1.4 D-4D Touch	 88.500 TL 	2015	1364 cc	117.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	1 boyalı	Yarı Otomatik	13 Eylül 2019	12264313	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.3 CDTI Essentia	 36.750 TL 	2006	1248 cc	240.000 km	Dizel	Corsa	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265553	ANKARA / AKYURT / SARACALAR MAHALLESİ	
 34.750 TL 	1987	1801 - 2000 cm3	282.000 km	Benzin	200	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Düz	07 Eylül 2019	12217754	ANKARA / ÇANKAYA / MUSTAFA KEMAL MAHALLESİ	
1.5 dCi Touch	 109.000 TL 	2017	1461 cc	72.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12228137	İSTANBUL / BAĞCILAR / GÖZTEPE MAHALLESİ	
2.0 T	 72.750 TL 	2009	1801 - 2000 cm3	131.000 km	Benzin	S60	Galeriden	Volvo	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265642	ANKARA / AKYURT / SARACALAR MAHALLESİ	
SLX	 16.500 TL 	1995	1581 cc	200.000 km	LPG & Benzin	Doğan	Sahibinden	Tofaş	Takasa Uygun	1 değişen	Düz	14 Eylül 2019	12265495	ANTALYA / MANAVGAT / ÖRNEK MAHALLESİ	
1.5 dCi Joy	 51.000 TL 	2016	1461 cc	114.000 km	Dizel	Symbol	Sahibinden	Renault	Takasa Uygun Değil	2 değişen, 1 boyalı	Düz	14 Eylül 2019	12264435	İSTANBUL / SARIYER / MASLAK MAHALLESİ	
1.5 dCi Joy	 92.900 TL 	2018	1461 cc	500 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	10662185	İSTANBUL / KAĞITHANE / MERKEZ MAHALLESİ	
1.4 VTi Active	 45.000 TL 	2008	151.000 km	LPG & Benzin	207	Sahibinden	Peugeot	Takasa Uygun Değil	Tamamı orjinal	Otomatik	13 Eylül 2019	12263804	KONYA / KULU / FATİH SULTAN MEHMET MAHALLESİ	
1.2 PureTech	 73.500 TL 	2015	1200 cm3' e kadar	39.000 km	Benzin	DS3	Galeriden	DS Automobiles	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264613	İSTANBUL / KADIKÖY / MERDİVENKÖY MAHALLESİ	
1.3 Multijet Dynamic Sole	 29.000 TL 	2010	1248 cc	220.000 km	Dizel	Palio	Sahibinden	Fiat	Takasa Uygun Değil	3 değişen, 1 boyalı	Düz	14 Eylül 2019	12265095	İSTANBUL / PENDİK / DUMLUPINAR MAHALLESİ	
1.6 ie	 18.750 TL 	1999	1401 - 1600 cm3	143.000 km	Benzin	Şahin	Galeriden	Tofaş	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264293	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
1.6 GLS	 35.000 TL 	2005	1599 cc	176.000 km	LPG & Benzin	Elantra	Sahibinden	Hyundai	Takasa Uygun Değil	1 değişen	Düz	14 Eylül 2019	12264927	İSTANBUL / KÜÇÜKÇEKMECE / YEŞİLOVA MAHALLESİ	
1.4 Reference	 61.000 TL 	2015	1390 cc	23.000 km	Benzin	Ibiza	Galeriden	Seat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12259015	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.2 D-CVVT Jump	 51.900 TL 	2014	1248 cc	78.300 km	Benzin	i20	Sahibinden	Hyundai	Takasa Uygun	2 boyalı	Düz	14 Eylül 2019	12265298	ANKARA / ÇANKAYA / KIZILAY MAHALLESİ	
1.5 dCi Touch	 92.900 TL 	2018	1401 - 1600 cm3	14.589 km	Dizel	Clio	Yetkili Bayiden	Renault	Takasa Uygun	3 boyalı	Yarı Otomatik	13 Eylül 2019	12265032	İSTANBUL / ATAŞEHİR / MERKEZ	
1.6 e-HDi D-Sport	 89.500 TL 	2015	1560 cc	98.000 km	Dizel	DS4	Galeriden	DS Automobiles	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263948	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.6 i-VTEC ECO Elegance	 116.500 TL 	2016	1597 cc	20.500 km	Benzin	Civic	Sahibinden	Honda	Takasa Uygun Değil	Tamamı orjinal	Otomatik	13 Eylül 2019	12263569	SİVAS / MERKEZ / KÜMBET MAHALLESİ	
1.2 EL Speedgear	 33.250 TL 	2005	1242 cc	160.000 km	Benzin	Palio	Sahibinden	Fiat	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	12265691	MERSİN / TOROSLAR / PORTAKAL MAHALLESİ	
350 CDI	 267.000 TL 	2011	2987 cc	169.000 km	Dizel	CLS	Sahibinden	Mercedes - Benz	Takasa Uygun Değil	2 değişen	Otomatik	14 Eylül 2019	12264642	ADANA / ÇUKUROVA / BELEDİYE EVLERİ MAHALLESİ	
1.2 Expression	 29.500 TL 	2004	1149 cc	200.000 km	Benzin	Clio	Sahibinden	Renault	Takasa Uygun Değil	1 boyalı	Düz	08 Eylül 2019	12223089	BALIKESİR / GÖNEN / AKÇAPINAR MAHALLESİ	
1.4 Avantage	 10.000 TL 	1994	1401 - 1600 cm3	266.000 km	Benzin	ZX	Sahibinden	Citroen	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265489	İSTANBUL / SARIYER / PINAR MAHALLESİ	
1.6 TDI Elegance	 118.750 TL 	2014	1598 cc	128.500 km	Dizel	SuperB	Galeriden	Skoda	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265568	YOZGAT / SORGUN / AGAHEFENDİ MAHALLESİ	
1.2 TCe Icon	 165.000 TL 	2018	6.800 km	Benzin	Kadjar	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	13 Eylül 2019	12263660	KONYA / KARATAY / MERKEZ	
1.4 Comfort	 27.500 TL 	2001	1389 cc	208.500 km	LPG & Benzin	Corsa	Sahibinden	Opel	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263835	RİZE / ÇAMLIHEMŞİN / MERKEZ MAHALLESİ	
1.6 Admire	 25.500 TL 	2004	1599 cc	248.000 km	LPG & Benzin	Accent	Sahibinden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263984	ANKARA / ÇANKAYA / AŞAĞI DİKMEN MAHALLESİ	
1.6 Comfort	 43.500 TL 	2003	1598 cc	168.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264381	İZMİR / BORNOVA / YEŞİLOVA MAHALLESİ	
1.4 Comfortline	 64.500 TL 	2011	1390 cc	120.000 km	Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264950	ANTALYA / MANAVGAT / BAHÇELİEVLER MAHALLESİ	
1.4 D-4D Sol	 34.500 TL 	2006	1201 - 1400 cm3	340.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	Belirtilmemiş	Düz	09 Eylül 2019	12228414	İSTANBUL / PENDİK / ŞEYHLİ MAHALLESİ	
1.6 TDI Xcellence	 139.900 TL 	2018	1401 - 1600 cm3	32.000 km	Dizel	Leon	Yetkili Bayiden	Seat	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12265064	İSTANBUL / ATAŞEHİR / MERKEZ	
1.2 VTi Cool	 58.750 TL 	2014	1199 cc	93.800 km	Benzin	C3	Galeriden	Citroen	Takasa Uygun	1 değişen, 3 boyalı	Yarı Otomatik	14 Eylül 2019	12265342	BARTIN / MERKEZ / KEMER KÖPRÜ MAHALLESİ	
1.6 Ti-VCT Style	 63.500 TL 	2013	1596 cc	58.000 km	LPG & Benzin	Focus	Galeriden	Ford	Takasa Uygun	1 değişen, 3 boyalı	Yarı Otomatik	14 Eylül 2019	12265585	KAHRAMANMARAŞ / DULKADİROĞLU / EGEMENLİK MAHALLESİ	
Fiorino Panorama 1.3 Multijet Pop	 57.750 TL 	2016	60.000 km	Dizel	Fiorino	Galeriden	Fiat	4x2 (Arkadan İtişli)	Belirtilmemiş	Düz	13 Eylül 2019	Takasa Uygun	12264454	SAMSUN / BAFRA / EMİREFENDİ MAHALLESİ	
1.2 TDi Trendline	 55.000 TL 	2013	1199 cc	145.000 km	Dizel	Polo	Sahibinden	Volkswagen	Takasa Uygun Değil	2 boyalı	Düz	14 Eylül 2019	12265395	SAKARYA / AKYAZI / İNÖNÜ MAHALLESİ	
1.2 VTi Active	 58.000 TL 	2013	1199 cc	48.000 km	Benzin	208	Sahibinden	Peugeot	Takasa Uygun Değil	2 değişen, 3 boyalı	Düz	14 Eylül 2019	12265242	YALOVA / MERKEZ / FEVZİ ÇAKMAK MAHALLESİ	
1.6 CRDi Elite	 87.900 TL 	2015	1401 - 1600 cm3	114.000 km	Dizel	i30	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264750	KOCAELİ / İZMİT / KÖRFEZ MAHALLESİ	
1.4 D-4D Advance	 98.500 TL 	2016	1201 - 1400 cm3	78.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	1 boyalı	Yarı Otomatik	14 Eylül 2019	12153723	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.4 MPI Style	 78.900 TL 	2016	1368 cc	79.000 km	Benzin	i20	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264709	KOCAELİ / İZMİT / KÖRFEZ MAHALLESİ	
1.5 T3 Advance	 145.500 TL 	2018	1401 - 1600 cm3	50.000 km	Benzin	S60	Galeriden	Volvo	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264836	ANTALYA / MURATPAŞA / YEŞİLKÖY MAHALLESİ	
1.5 CRDi EX	 38.000 TL 	2006	1401 - 1600 cm3	258.000 km	Dizel	Cerato	Sahibinden	Kia	Takasa Uygun Değil	4 boyalı	Düz	14 Eylül 2019	12264016	ANTALYA / ALANYA / SARAY MAHALLESİ	
2.0 RXE	 21.500 TL 	1999	1401 - 1600 cm3	275.000 km	Benzin	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Otomatik	05 Eylül 2019	12200743	HATAY / ANTAKYA / HARAPARASI MAHALLESİ	
Doblo Panorama 1.6 Multijet	 56.000 TL 	2013	135.000 km	Dizel	Doblo	Sahibinden	Fiat	4x2 (Önden Çekişli)	4 değişen	Düz	14 Eylül 2019	Takasa Uygun	12264589	SAKARYA / SERDİVAN / BEŞKÖPRÜ MAHALLESİ	
1.4 TDCi Comfort	 39.500 TL 	2005	1399 cc	219.000 km	Dizel	Fusion	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265480	ANTALYA / KEPEZ / YEŞİLYURT MAHALLESİ	
1.4 Club	 37.500 TL 	2003	1388 cc	164.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264480	İSTANBUL / ŞİŞLİ / YAYLA MAHALLESİ	
A4 Sedan 2.0 TDI	 131.900 TL 	2012	1801 - 2000 cm3	180.000 km	Dizel	A4	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12250372	ADIYAMAN / MERKEZ / ALTINŞEHİR MAHALLESİ	
1.5 dCi Icon	 112.000 TL 	2016	1401 - 1600 cm3	100.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264008	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.6 HDi Active	 63.500 TL 	2017	1401 - 1600 cm3	68.458 km	Dizel	301	Yetkili Bayiden	Peugeot	Takasa Uygun	4 boyalı	Düz	13 Eylül 2019	12263691	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.5 dCi Expression	 43.500 TL 	2010	1461 cc	240.000 km	Dizel	Fluence	Sahibinden	Renault	Takasa Uygun Değil	2 değişen, 5 boyalı	Düz	13 Eylül 2019	12263843	ŞANLIURFA / VİRANŞEHİR / EMİROĞLU MAHALLESİ	
1.5 dCi Joy	 98.000 TL 	2017	1401 - 1600 cm3	26.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265420	ANKARA / AKYURT / SARACALAR MAHALLESİ	
520i Standart	 45.900 TL 	2000	1991 cc	268.000 km	LPG & Benzin	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Otomatik	11 Eylül 2019	11881198	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.3 Multijet Pop	 55.500 TL 	2016	1248 cc	84.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264698	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
2.0 Ghia	 39.750 TL 	2005	1999 cc	242.000 km	LPG & Benzin	Mondeo	Sahibinden	Ford	Takasa Uygun	2 değişen	Otomatik	13 Eylül 2019	12263977	ANKARA / ETİMESGUT / GÖKSU MAHALLESİ	
TSW	 13.750 TL 	1988	3.455 km	LPG & Benzin	R 12	Sahibinden	Renault	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265359	KIRIKKALE / MERKEZ / KALETEPE MAHALLESİ	
1.4 Europa RN	 16.500 TL 	1996	1201 - 1400 cm3	220.000 km	LPG & Benzin	R 19	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	10087406	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.5 dCi Joy	 61.950 TL 	2017	1461 cc	102.000 km	Dizel	Symbol	Yetkili Bayiden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263854	ANKARA / YENİMAHALLE / İNÖNÜ MAHALLESİ	
1.6 i-VTEC Premium	 73.500 TL 	2009	1595 cc	71.000 km	LPG & Benzin	Civic	Sahibinden	Honda	Takasa Uygun Değil	Belirtilmemiş	Otomatik	14 Eylül 2019	12265693	ANKARA / PURSAKLAR / FATİH MAHALLESİ	
A5 Sportback 1.4 TFSI	 262.750 TL 	2017	1395 cc	62.000 km	Benzin	A5	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264426	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.2 Joy	 74.900 TL 	2019	1149 cc	331 km	Benzin	Clio	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Düz	13 Eylül 2019	12264647	MANİSA / ŞEHZADELER / 2. ANAFARTALAR MAHALLESİ	
525d xDrive xDrive	 309.750 TL 	2016	1801 - 2000 cm3	87.000 km	Dizel	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265540	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 HDi Comfort	 33.000 TL 	2006	1560 cc	208.000 km	Dizel	307	Sahibinden	Peugeot	Takasa Uygun Değil	3 boyalı	Düz	14 Eylül 2019	12264249	GAZİANTEP / ŞEHİTKAMİL / KARACAAHMET MAHALLESİ	
1.5 dCi Icon	 132.900 TL 	2018	1401 - 1600 cm3	21.144 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	06 Eylül 2019	12212597	İSTANBUL / BAĞCILAR / 100. YIL MAHALLESİ	
C 180 BlueEFFICIENCY Fascination	 97.500 TL 	2011	1601 - 1800 cm3	224.000 km	Benzin	C	Galeriden	Mercedes - Benz	Takasa Uygun	3 değişen, 3 boyalı	Yarı Otomatik	14 Eylül 2019	12265587	İSTANBUL / AVCILAR / AMBARLI MAHALLESİ	
1.9 TDi	 32.500 TL 	1998	1896 cc	300.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	05 Eylül 2019	12162012	VAN / TUŞBA / SEYRANTEPE MAHALLESİ	
1.4 TSi BlueMotion Comfortline	 166.500 TL 	2017	1390 cc	39.000 km	Benzin	Passat	Sahibinden	Volkswagen	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	12264563	AĞRI / MERKEZ / FIRAT MAHALLESİ	
1.2 PureTech Allure	 79.250 TL 	2016	1199 cc	29.500 km	Benzin	208	Galeriden	Peugeot	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263891	BALIKESİR / HAVRAN / CAMİİKEBİR MAHALLESİ	
1.5 dCi Icon	 130.000 TL 	2017	1461 cc	37.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	13 Eylül 2019	12261115	İSTANBUL / KAĞITHANE / NURTEPE MAHALLESİ	
3.5	 105.000 TL 	2005	3518 cc	112.000 km	Benzin	300 C	Galeriden	Chrysler	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264171	ANTALYA / MURATPAŞA / YEŞİLBAHÇE MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 91.750 TL 	2014	1598 cc	130.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	12 Ağustos 2019	12046060	ŞANLIURFA / HALİLİYE / VEYSEL KARANİ MAHALLESİ	
1.3 Multijet Active Plus	 39.700 TL 	2011	1248 cc	199.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265030	AYDIN / NAZİLLİ / NAZİLLİ OSB	
